finance_id,project_id,expense_type,amount,expense_date,approval_status,approved_by,is_anomaly
EXP0061,,Cloud Services,13034,2025-06-17,Approved,,0
EXP0062,,Maintenance,8671,2026-06-30,Approved,,0
EXP0063,,Marketing Campaign,47882,2025-03-05,Pending,,0
EXP0064,,Cloud Services,99634,2026-08-10,Rejected,,0
EXP0065,,Maintenance,24405,2024-09-13,Pending,,0
EXP0066,,Hardware,35034,2026-01-14,Pending,,0
EXP0067,,Recruitment,34298,2026-04-04,Approved,,0
EXP0068,,Software License,28954,2026-08-06,Approved,,0
EXP0069,,Travel,90477,2025-08-28,Rejected,,0
EXP0070,,Recruitment,46073,2024-11-24,Approved,,0
EXP0071,,Consulting,43024,2026-07-16,Rejected,,0
EXP0072,,Office Supplies,15640,2026-05-11,Rejected,,0
EXP0073,,Travel,2403,2025-12-16,Rejected,,0
EXP0074,,Recruitment,78135,2026-04-06,Approved,,0
EXP0075,,Office Supplies,13874,2026-03-31,Approved,,0
EXP0076,,Consulting,93898,2025-07-09,Approved,,0
EXP0077,,Training,80535,2025-08-10,Pending,,0
EXP0078,,Recruitment,52734,2025-04-12,Pending,,0
EXP0079,,Software License,50105,2025-07-27,Approved,,0
EXP0080,,Travel,78539,2026-03-08,Rejected,,0
EXP0081,,Consulting,74340,2025-08-29,Approved,,0
EXP0082,,Office Supplies,23264,2024-10-20,Rejected,,0
EXP0083,,Training,28868,2025-01-17,Pending,,0
EXP0084,,Travel,95209,2025-11-28,Approved,,0
EXP0085,,Training,38857,2026-07-30,Rejected,,0
EXP0086,,Office Supplies,63519,2025-05-26,Pending,,0
EXP0087,,Recruitment,62808,2024-12-07,Approved,,0
EXP0088,,Training,98735,2025-05-06,Pending,,0
EXP0089,,Consulting,26203,2025-09-21,Rejected,,0
EXP0090,,Cloud Services,39277,2026-06-26,Pending,,0
EXP0091,,Recruitment,36988,2026-07-21,Rejected,,0
EXP0092,,Travel,86744,2025-05-04,Pending,,0
EXP0093,,Consulting,60495,2026-07-11,Rejected,,0
EXP0094,,Consulting,50487,2025-04-06,Approved,,0
EXP0095,,Consulting,80819,2026-04-05,Approved,,0
EXP0096,,Training,40669,2026-04-11,Pending,,0
EXP0097,,Hardware,99451,2025-12-24,Rejected,,0
EXP0098,,Marketing Campaign,70936,2025-08-13,Rejected,,0
EXP0099,,Training,9405,2024-12-20,Approved,,0
EXP0100,,Marketing Campaign,92349,2025-11-04,Approved,,0
EXP0101,,Recruitment,62196,2025-08-16,Rejected,,0
EXP0102,,Consulting,95944,2026-02-05,Rejected,,0
EXP0103,,Training,98256,2025-07-31,Approved,,0
EXP0104,,Travel,12134,2025-05-05,Rejected,,0
EXP0105,,Training,19750,2026-03-27,Rejected,,0
EXP0106,,Recruitment,35380,2025-06-09,Rejected,,0
EXP0107,,Consulting,58564,2026-08-01,Pending,,0
EXP0108,,Hardware,63775,2025-11-12,Rejected,,0
EXP0109,,Maintenance,67861,2025-08-04,Pending,,0
EXP0110,,Travel,94992,2025-07-04,Rejected,,0
EXP0111,,Training,10798,2025-02-23,Rejected,,0
EXP0112,,Marketing Campaign,63275,2026-05-06,Pending,,0
EXP0113,,Recruitment,29272,2026-06-19,Pending,,0
EXP0114,,Maintenance,32570,2024-12-06,Rejected,,0
EXP0115,,Software License,69722,2026-01-05,Approved,,0
EXP0116,,Cloud Services,26946,2025-03-04,Pending,,0
EXP0117,,Training,2984,2025-07-31,Pending,,0
EXP0118,,Marketing Campaign,30269,2024-12-21,Approved,,0
EXP0119,,Recruitment,76526,2025-09-07,Rejected,,0
EXP0120,,Software License,67366,2025-01-22,Approved,,0
EXP0121,,Hardware,54018,2025-06-05,Approved,,0
EXP0122,,Training,98685,2026-05-03,Approved,,0
EXP0123,,Marketing Campaign,32503,2026-06-14,Approved,,0
EXP0124,,Consulting,46705,2025-02-03,Approved,,0
EXP0125,,Travel,26762,2025-12-29,Approved,,0
EXP0126,,Hardware,30086,2026-02-09,Approved,,0
EXP0127,,Software License,41296,2025-07-30,Rejected,,0
EXP0128,,Hardware,42289,2025-04-12,Pending,,0
EXP0129,,Office Supplies,45040,2025-02-02,Approved,,0
EXP0130,,Hardware,86742,2024-11-11,Approved,,0
EXP0131,,Recruitment,74014,2025-12-14,Approved,,0
EXP0132,,Software License,72000,2024-10-16,Approved,,0
EXP0133,,Travel,30047,2024-09-30,Rejected,,0
EXP0134,,Travel,91268,2026-07-28,Pending,,0
EXP0135,,Maintenance,53650,2025-02-26,Approved,,0
EXP0136,,Consulting,97800,2025-10-02,Approved,,0
EXP0137,,Recruitment,25200,2025-01-11,Rejected,,0
EXP0138,,Cloud Services,48297,2025-08-30,Pending,,0
EXP0139,,Travel,64338,2025-06-11,Approved,,0
EXP0140,,Marketing Campaign,84599,2025-05-06,Pending,,0
EXP0141,,Travel,78297,2024-09-13,Approved,,0
EXP0142,,Office Supplies,6768,2026-05-12,Pending,,0
EXP0143,,Hardware,53116,2025-09-15,Approved,,0
EXP0144,,Travel,35077,2024-09-26,Approved,,0
EXP0145,,Maintenance,51053,2025-10-12,Pending,,0
EXP0146,,Travel,79985,2025-05-22,Approved,,0
EXP0147,,Marketing Campaign,96854,2025-07-31,Rejected,,0
EXP0148,,Cloud Services,55346,2025-03-27,Rejected,,0
EXP0149,,Recruitment,21116,2026-02-27,Rejected,,0
EXP0150,,Hardware,77690,2026-04-15,Approved,,0
EXP0151,,Software License,16056,2025-01-26,Approved,,0
EXP0152,,Cloud Services,34256,2026-01-27,Rejected,,0
EXP0153,,Cloud Services,55977,2024-09-03,Pending,,0
EXP0154,,Travel,68333,2025-04-13,Approved,,0
EXP0155,,Training,52264,2026-05-26,Pending,,0
EXP0156,,Travel,40821,2026-07-12,Approved,,0
EXP0157,,Maintenance,55063,2026-05-16,Rejected,,0
EXP0158,,Office Supplies,89644,2024-12-21,Rejected,,0
EXP0159,,Recruitment,49554,2025-07-15,Pending,,0
EXP0160,,Maintenance,37483,2025-07-08,Rejected,,0
EXP0161,,Training,26209,2024-08-24,Rejected,,0
EXP0162,,Hardware,91913,2024-09-17,Pending,,0
EXP0163,,Maintenance,79802,2026-04-10,Approved,,0
EXP0164,,Software License,54322,2024-10-04,Rejected,,0
EXP0165,,Maintenance,72950,2025-08-17,Approved,,0
EXP0166,,Consulting,76679,2024-10-29,Approved,,0
EXP0167,,Training,18221,2026-01-02,Pending,,0
EXP0168,,Maintenance,63849,2025-12-22,Pending,,0
EXP0169,,Office Supplies,28185,2025-12-02,Pending,,0
EXP0170,,Recruitment,82109,2024-12-12,Pending,,0
EXP0171,,Training,78920,2025-09-26,Pending,,0
EXP0172,,Travel,17174,2025-03-17,Rejected,,0
EXP0173,,Recruitment,52324,2025-01-10,Approved,,0
EXP0174,,Training,76275,2024-10-04,Approved,,0
EXP0175,,Cloud Services,58310,2025-03-28,Rejected,,0
EXP0176,,Recruitment,38160,2024-10-04,Pending,,0
EXP0177,,Marketing Campaign,68988,2025-07-04,Rejected,,0
EXP0178,,Software License,57124,2025-01-20,Pending,,0
EXP0179,,Recruitment,98010,2025-08-09,Rejected,,0
EXP0180,,Maintenance,35832,2025-04-06,Approved,,0
EXP0181,,Office Supplies,92668,2025-07-30,Rejected,,0
EXP0182,,Office Supplies,96382,2026-08-13,Approved,,0
EXP0183,,Cloud Services,97701,2025-10-31,Approved,,0
EXP0184,,Software License,81174,2025-12-11,Pending,,0
EXP0185,,Hardware,56149,2024-11-01,Rejected,,0
EXP0186,,Maintenance,10349,2024-09-04,Pending,,0
EXP0187,,Cloud Services,62884,2025-05-16,Approved,,0
EXP0188,,Cloud Services,81871,2026-07-10,Approved,,0
EXP0189,,Recruitment,80100,2024-11-27,Pending,,0
EXP0190,,Recruitment,58669,2026-05-19,Approved,,0
EXP0191,,Hardware,55879,2025-04-17,Pending,,0
EXP0192,,Hardware,97198,2026-02-16,Rejected,,0
EXP0193,,Hardware,27534,2026-06-23,Approved,,0
EXP0194,,Software License,79312,2025-09-24,Rejected,,0
EXP0195,,Recruitment,49403,2025-09-08,Rejected,,0
EXP0196,,Cloud Services,58135,2025-02-17,Rejected,,0
EXP0197,,Hardware,6203,2026-08-06,Approved,,0
EXP0198,,Training,6297,2024-08-26,Rejected,,0
EXP0199,,Office Supplies,63248,2024-09-03,Pending,,0
EXP0200,,Software License,96593,2025-07-06,Pending,,0
EXP0201,,Software License,15785,2025-01-02,Pending,,0
EXP0202,,Software License,96910,2025-03-04,Pending,,0
EXP0203,,Maintenance,75449,2026-04-03,Pending,,0
EXP0204,,Software License,25147,2025-01-05,Approved,,0
EXP0205,,Consulting,41933,2025-05-20,Pending,,0
EXP0206,,Consulting,4134,2025-05-05,Pending,,0
EXP0207,,Maintenance,33109,2026-08-19,Pending,,0
EXP0208,,Cloud Services,20289,2025-11-16,Approved,,0
EXP0209,,Marketing Campaign,42726,2025-09-26,Pending,,0
EXP0210,,Consulting,72489,2025-04-22,Approved,,0
EXP0211,,Software License,79703,2026-02-11,Approved,,0
EXP0212,,Consulting,82020,2025-07-26,Approved,,0
EXP0213,,Consulting,76455,2026-07-20,Rejected,,0
EXP0214,,Cloud Services,45263,2025-11-09,Rejected,,0
EXP0215,,Software License,31590,2025-08-30,Pending,,0
EXP0216,,Consulting,51478,2025-06-11,Approved,,0
EXP0217,,Training,70550,2024-12-08,Rejected,,0
EXP0218,,Cloud Services,20472,2024-09-30,Pending,,0
EXP0219,,Marketing Campaign,32417,2025-03-07,Approved,,0
EXP0220,,Travel,33554,2026-03-27,Approved,,0
EXP0221,,Recruitment,44100,2024-11-29,Approved,,0
EXP0222,,Cloud Services,48963,2025-07-28,Rejected,,0
EXP0223,,Office Supplies,11868,2025-10-08,Pending,,0
EXP0224,,Marketing Campaign,77014,2025-10-08,Rejected,,0
EXP0225,,Marketing Campaign,99861,2024-09-15,Approved,,0
EXP0226,,Office Supplies,26532,2025-02-19,Rejected,,0
EXP0227,,Marketing Campaign,24184,2026-03-30,Approved,,0
EXP0228,,Hardware,54198,2025-12-25,Approved,,0
EXP0229,,Training,82412,2025-02-26,Pending,,0
EXP0230,,Hardware,82553,2026-01-09,Pending,,0
EXP0231,,Travel,49811,2025-07-03,Rejected,,0
EXP0232,,Maintenance,30859,2025-11-08,Pending,,0
EXP0233,,Office Supplies,62741,2025-05-16,Pending,,0
EXP0234,,Travel,97653,2026-01-16,Rejected,,0
EXP0235,,Cloud Services,57790,2025-01-01,Rejected,,0
EXP0236,,Training,95940,2024-10-22,Approved,,0
EXP0237,,Hardware,79553,2026-07-27,Approved,,0
EXP0238,,Hardware,62985,2025-03-05,Rejected,,0
EXP0239,,Cloud Services,46513,2026-08-22,Approved,,0
EXP0240,,Consulting,38280,2024-11-15,Rejected,,0
EXP0241,,Software License,52815,2025-08-16,Pending,,0
EXP0242,,Software License,29970,2025-10-06,Rejected,,0
EXP0243,,Travel,96323,2024-10-04,Rejected,,0
EXP0244,,Travel,39421,2025-05-28,Approved,,0
EXP0245,,Travel,11216,2026-08-08,Rejected,,0
EXP0246,,Travel,14370,2026-03-15,Approved,,0
EXP0247,,Cloud Services,4961,2024-11-21,Approved,,0
EXP0248,,Marketing Campaign,48395,2026-03-05,Pending,,0
EXP0249,,Software License,54185,2026-01-02,Rejected,,0
EXP0250,,Software License,90908,2024-10-12,Approved,,0
EXP0251,,Software License,59014,2025-09-23,Approved,,0
EXP0252,,Recruitment,98020,2024-11-08,Pending,,0
EXP0253,,Software License,23953,2026-01-24,Rejected,,0
EXP0254,,Office Supplies,12893,2024-10-26,Approved,,0
EXP0255,,Travel,57720,2026-05-31,Approved,,0
EXP0256,,Training,90862,2025-05-25,Approved,,0
EXP0257,,Cloud Services,89279,2026-06-18,Rejected,,0
EXP0258,,Recruitment,62212,2025-08-11,Pending,,0
EXP0259,,Hardware,4682,2025-12-17,Pending,,0
EXP0260,,Software License,71024,2025-01-10,Rejected,,0
EXP0261,,Office Supplies,9870,2024-12-17,Pending,,0
EXP0262,,Training,78838,2026-06-20,Rejected,,0
EXP0263,,Recruitment,89893,2026-02-13,Pending,,0
EXP0264,,Travel,87443,2025-09-11,Approved,,0
EXP0265,,Marketing Campaign,42346,2026-04-13,Pending,,0
EXP0266,,Training,9019,2025-10-10,Approved,,0
EXP0267,,Software License,35242,2024-09-15,Pending,,0
EXP0268,,Hardware,25309,2024-10-10,Approved,,0
EXP0269,,Office Supplies,78057,2025-01-08,Rejected,,0
EXP0270,,Office Supplies,29524,2025-04-08,Pending,,0
EXP0271,,Software License,72189,2026-03-24,Rejected,,0
EXP0272,,Maintenance,1651,2025-10-25,Rejected,,0
EXP0273,,Travel,42948,2025-11-15,Rejected,,0
EXP0274,,Software License,7640,2025-06-15,Pending,,0
EXP0275,,Consulting,10912,2025-03-17,Approved,,0
EXP0276,,Maintenance,27327,2026-06-17,Pending,,0
EXP0277,,Training,82570,2024-09-11,Pending,,0
EXP0278,,Training,67147,2024-11-24,Approved,,0
EXP0279,,Recruitment,50868,2026-04-04,Rejected,,0
EXP0280,,Office Supplies,10172,2026-06-19,Approved,,0
EXP0281,,Marketing Campaign,37281,2024-09-13,Rejected,,0
EXP0282,,Marketing Campaign,24246,2026-06-30,Pending,,0
EXP0283,,Office Supplies,30762,2025-07-15,Approved,,0
EXP0284,,Travel,14523,2024-12-22,Approved,,0
EXP0285,,Software License,78071,2024-10-17,Approved,,0
EXP0286,,Travel,17594,2026-07-05,Rejected,,0
EXP0287,,Recruitment,82796,2026-02-24,Rejected,,0
EXP0288,,Office Supplies,62511,2024-11-17,Pending,,0
EXP0289,,Hardware,35118,2025-12-11,Approved,,0
EXP0290,,Office Supplies,84100,2026-08-05,Approved,,0
EXP0291,,Marketing Campaign,81755,2026-08-05,Approved,,0
EXP0292,,Recruitment,67065,2025-08-20,Pending,,0
EXP0293,,Training,65870,2025-10-28,Rejected,,0
EXP0294,,Marketing Campaign,22134,2025-11-18,Approved,,0
EXP0295,,Cloud Services,86922,2026-01-03,Approved,,0
EXP0296,,Hardware,27757,2025-06-24,Pending,,0
EXP0297,,Travel,8712,2025-11-19,Approved,,0
EXP0298,,Office Supplies,67783,2026-03-27,Rejected,,0
EXP0299,,Hardware,5411,2025-01-07,Approved,,0
EXP0300,,Office Supplies,70045,2025-08-26,Approved,,0
EXP0301,,Recruitment,67926,2026-03-20,Pending,,0
EXP0302,,Consulting,10886,2025-03-27,Rejected,,0
EXP0303,,Marketing Campaign,5122,2024-09-01,Pending,,0
EXP0304,,Recruitment,45744,2025-08-14,Approved,,0
EXP0305,,Software License,85371,2025-02-05,Pending,,0
EXP0306,,Office Supplies,26447,2024-11-14,Rejected,,0
EXP0307,,Travel,62035,2026-04-02,Rejected,,0
EXP0308,,Marketing Campaign,2030,2026-07-21,Pending,,0
EXP0309,,Software License,45230,2026-04-26,Rejected,,0
EXP0310,,Travel,26058,2025-06-11,Approved,,0
EXP0311,,Recruitment,50529,2026-06-01,Rejected,,0
EXP0312,,Training,47979,2025-04-15,Approved,,0
EXP0313,,Office Supplies,52593,2026-06-09,Rejected,,0
EXP0314,,Training,65638,2024-11-05,Approved,,0
EXP0315,,Maintenance,66701,2025-10-03,Rejected,,0
EXP0316,,Hardware,55875,2026-04-20,Rejected,,0
EXP0317,,Travel,88079,2025-07-07,Approved,,0
EXP0318,,Recruitment,75808,2026-03-16,Rejected,,0
EXP0319,,Consulting,25472,2026-06-23,Approved,,0
EXP0320,,Training,34479,2026-01-12,Pending,,0
EXP0321,,Maintenance,65873,2025-10-07,Pending,,0
EXP0322,,Training,71805,2026-05-11,Rejected,,0
EXP0323,,Maintenance,3070,2024-11-11,Pending,,0
EXP0324,,Marketing Campaign,36235,2025-02-24,Rejected,,0
EXP0325,,Software License,81567,2026-05-08,Pending,,0
EXP0326,,Marketing Campaign,46302,2026-03-01,Rejected,,0
EXP0327,,Maintenance,10741,2026-07-25,Approved,,0
EXP0328,,Marketing Campaign,84235,2025-03-21,Rejected,,0
EXP0329,,Hardware,26847,2026-07-01,Pending,,0
EXP0330,,Hardware,72079,2024-11-10,Pending,,0
EXP0331,,Recruitment,63244,2025-12-16,Approved,,0
EXP0332,,Consulting,74267,2026-05-13,Pending,,0
EXP0333,,Office Supplies,81842,2026-05-09,Approved,,0
EXP0334,,Recruitment,24352,2025-10-20,Rejected,,0
EXP0335,,Hardware,37421,2026-01-20,Pending,,0
EXP0336,,Hardware,7968,2025-08-18,Pending,,0
EXP0337,,Marketing Campaign,14903,2026-06-25,Pending,,0
EXP0338,,Office Supplies,78892,2024-08-29,Pending,,0
EXP0339,,Training,40187,2026-04-21,Approved,,0
EXP0340,,Cloud Services,3020,2024-11-07,Pending,,0
EXP0341,,Software License,11569,2026-06-09,Approved,,0
EXP0342,,Software License,97376,2025-11-07,Pending,,0
EXP0343,,Office Supplies,21251,2026-06-24,Rejected,,0
EXP0344,,Maintenance,41036,2025-02-12,Rejected,,0
EXP0345,,Office Supplies,36643,2025-09-23,Pending,,0
EXP0346,,Hardware,37073,2024-10-06,Pending,,0
EXP0347,,Training,88565,2025-10-21,Approved,,0
EXP0348,,Recruitment,75120,2025-06-27,Rejected,,0
EXP0349,,Travel,37783,2026-07-15,Approved,,0
EXP0350,,Maintenance,35888,2025-12-01,Pending,,0
EXP0351,,Travel,80646,2024-09-23,Pending,,0
EXP0352,,Software License,56817,2026-04-01,Pending,,0
EXP0353,,Maintenance,85976,2024-12-16,Approved,,0
EXP0354,,Training,51185,2024-11-30,Pending,,0
EXP0355,,Cloud Services,86868,2026-07-12,Pending,,0
EXP0356,,Hardware,80275,2026-06-05,Approved,,0
EXP0357,,Hardware,61431,2024-10-10,Pending,,0
EXP0358,,Software License,19451,2026-01-27,Rejected,,0
EXP0359,,Cloud Services,83453,2025-05-28,Approved,,0
EXP0360,,Software License,30158,2025-01-04,Approved,,0
EXP0361,,Maintenance,29525,2024-11-20,Pending,,0
EXP0362,,Consulting,62888,2024-12-17,Approved,,0
EXP0363,,Training,75434,2026-08-06,Pending,,0
EXP0364,,Office Supplies,15588,2025-07-10,Pending,,0
EXP0365,,Software License,37942,2024-10-22,Approved,,0
EXP0366,,Hardware,7459,2025-07-14,Pending,,0
EXP0367,,Cloud Services,2249,2024-12-18,Rejected,,0
EXP0368,,Software License,58458,2025-07-17,Rejected,,0
EXP0369,,Recruitment,56793,2024-12-28,Rejected,,0
EXP0370,,Hardware,81715,2024-11-29,Approved,,0
EXP0371,,Training,63833,2026-02-15,Pending,,0
EXP0372,,Cloud Services,30778,2025-08-06,Approved,,0
EXP0373,,Marketing Campaign,41962,2024-11-17,Pending,,0
EXP0374,,Maintenance,62960,2025-04-28,Rejected,,0
EXP0375,,Office Supplies,67456,2025-08-11,Rejected,,0
EXP0376,,Office Supplies,69561,2026-05-05,Approved,,0
EXP0377,,Maintenance,45187,2025-12-08,Pending,,0
EXP0378,,Office Supplies,88284,2025-12-04,Rejected,,0
EXP0379,,Software License,36630,2025-01-14,Rejected,,0
EXP0380,,Travel,42833,2024-08-23,Approved,,0
EXP0381,,Travel,40294,2024-08-25,Rejected,,0
EXP0382,,Maintenance,95188,2026-01-02,Rejected,,0
EXP0383,,Marketing Campaign,93282,2026-04-30,Pending,,0
EXP0384,,Consulting,87695,2026-04-28,Rejected,,0
EXP0385,,Consulting,82855,2025-09-28,Approved,,0
EXP0386,,Consulting,57832,2025-04-07,Approved,,0
EXP0387,,Marketing Campaign,89574,2025-10-27,Approved,,0
EXP0388,,Maintenance,10535,2025-02-20,Approved,,0
EXP0389,,Software License,96769,2025-06-30,Approved,,0
EXP0390,,Hardware,71094,2024-11-10,Pending,,0
EXP0391,,Maintenance,12705,2025-11-06,Approved,,0
EXP0392,,Cloud Services,25571,2025-07-09,Rejected,,0
EXP0393,,Marketing Campaign,77404,2025-09-26,Rejected,,0
EXP0394,,Software License,52650,2025-01-14,Rejected,,0
EXP0395,,Hardware,90618,2024-10-28,Rejected,,0
EXP0396,,Consulting,28680,2026-04-10,Rejected,,0
EXP0397,,Software License,26593,2025-07-05,Approved,,0
EXP0398,,Recruitment,84896,2025-02-26,Pending,,0
EXP0399,,Maintenance,43829,2025-03-01,Pending,,0
EXP0400,,Cloud Services,18204,2025-11-24,Pending,,0
EXP0401,,Cloud Services,82430,2024-09-16,Pending,,0
EXP0402,,Software License,75119,2026-04-03,Pending,,0
EXP0403,,Training,40269,2024-10-05,Approved,,0
EXP0404,,Consulting,12750,2025-04-25,Pending,,0
EXP0405,,Marketing Campaign,41080,2025-04-05,Pending,,0
EXP0406,,Recruitment,86635,2025-08-17,Pending,,0
EXP0407,,Hardware,81945,2025-04-28,Approved,,0
EXP0408,,Office Supplies,73265,2026-08-13,Rejected,,0
EXP0409,,Recruitment,79982,2025-06-03,Rejected,,0
EXP0410,,Software License,33102,2025-10-15,Approved,,0
EXP0411,,Consulting,37992,2025-12-20,Pending,,0
EXP0412,,Consulting,20045,2024-10-22,Pending,,0
EXP0413,,Hardware,28420,2025-09-26,Approved,,0
EXP0414,,Maintenance,7553,2025-01-10,Approved,,0
EXP0415,,Training,57259,2026-05-27,Rejected,,0
EXP0416,,Hardware,88316,2026-01-03,Rejected,,0
EXP0417,,Office Supplies,92728,2025-05-23,Pending,,0
EXP0418,,Cloud Services,84575,2025-12-21,Rejected,,0
EXP0419,,Marketing Campaign,29943,2025-11-05,Rejected,,0
EXP0420,,Travel,89985,2024-10-29,Rejected,,0
EXP0421,,Marketing Campaign,73288,2024-10-25,Rejected,,0
EXP0422,,Travel,13486,2025-06-02,Pending,,0
EXP0423,,Software License,47700,2024-09-06,Pending,,0
EXP0424,,Recruitment,2441,2025-08-24,Pending,,0
EXP0425,,Maintenance,4928,2024-09-06,Rejected,,0
EXP0426,,Maintenance,69317,2025-09-02,Pending,,0
EXP0427,,Hardware,62418,2025-03-15,Pending,,0
EXP0428,,Consulting,61155,2024-12-28,Rejected,,0
EXP0429,,Cloud Services,32584,2025-09-06,Pending,,0
EXP0430,,Hardware,65077,2026-07-06,Rejected,,0
EXP0431,,Training,77842,2025-03-17,Rejected,,0
EXP0432,,Office Supplies,84299,2024-09-25,Approved,,0
EXP0433,,Software License,53420,2026-06-27,Rejected,,0
EXP0434,,Consulting,56756,2024-09-19,Rejected,,0
EXP0435,,Travel,9358,2025-03-03,Approved,,0
EXP0436,,Recruitment,13514,2025-07-08,Pending,,0
EXP0437,,Marketing Campaign,68830,2026-01-16,Rejected,,0
EXP0438,,Hardware,40485,2025-11-02,Rejected,,0
EXP0439,,Hardware,65926,2026-03-07,Pending,,0
EXP0440,,Training,67640,2025-11-06,Pending,,0
EXP0441,,Cloud Services,74028,2026-08-17,Pending,,0
EXP0442,,Hardware,21472,2025-02-19,Pending,,0
EXP0443,,Marketing Campaign,33489,2025-10-28,Rejected,,0
EXP0444,,Consulting,95129,2024-11-08,Approved,,0
EXP0445,,Software License,97558,2025-07-29,Pending,,0
EXP0446,,Office Supplies,82587,2026-01-18,Rejected,,0
EXP0447,,Training,95583,2025-05-28,Approved,,0
EXP0448,,Training,80932,2026-05-25,Rejected,,0
EXP0449,,Cloud Services,18139,2025-03-06,Rejected,,0
EXP0450,,Marketing Campaign,76996,2025-05-10,Approved,,0
EXP0451,,Training,88302,2026-07-17,Pending,,0
EXP0452,,Cloud Services,47129,2024-10-04,Pending,,0
EXP0453,,Training,5878,2025-02-28,Approved,,0
EXP0454,,Hardware,32519,2024-12-22,Rejected,,0
EXP0455,,Maintenance,80583,2025-05-27,Rejected,,0
EXP0456,,Consulting,90139,2024-10-30,Rejected,,0
EXP0457,,Recruitment,5154,2025-08-09,Pending,,0
EXP0458,,Software License,24389,2025-01-06,Pending,,0
EXP0459,,Office Supplies,46758,2025-05-27,Approved,,0
EXP0460,,Cloud Services,8651,2025-12-28,Rejected,,0
EXP0461,,Maintenance,93721,2026-07-07,Pending,,0
EXP0462,,Hardware,6499,2025-07-05,Approved,,0
EXP0463,,Software License,76812,2026-05-13,Approved,,0
EXP0464,,Hardware,36402,2026-01-16,Pending,,0
EXP0465,,Maintenance,17718,2026-03-28,Rejected,,0
