project_id,project_name,description,start_date,deadline,status,risk_level
P00053,Employee Training Portal,Employee Training Portal project for Global Traders,2025-07-07,2026-01-11,In Progress,Medium
P00054,Marketing Analytics Platform,Marketing Analytics Platform project for OfficePro,2025-07-28,2026-06-07,Completed,High
P00055,Marketing Analytics Platform,Marketing Analytics Platform project for Global Traders,2025-03-13,2025-11-08,Completed,Medium
P00056,E-Commerce Platform,E-Commerce Platform project for Global Traders,2025-04-06,2026-01-24,In Progress,Medium
P00057,Cloud Migration Project,Cloud Migration Project project for IndustrialTech,2026-08-19,2027-07-14,Delayed,Medium
P00058,Inventory Management System,Inventory Management System project for DigitalHub,2026-02-20,2026-07-05,In Progress,Medium
P00059,Cybersecurity Upgrade,Cybersecurity Upgrade project for ServicePro,2026-02-11,2026-05-28,In Progress,High
P00060,Data Warehouse Development,Data Warehouse Development project for DataCorp,2025-06-18,2025-09-18,In Progress,Low
P00061,Document Management System,Document Management System project for CloudWorks,2026-05-29,2027-01-20,In Progress,Medium
P00062,Cybersecurity Upgrade,Cybersecurity Upgrade project for EduTech,2025-04-17,2026-02-14,Delayed,Critical
P00063,Employee Training Portal,Employee Training Portal project for MedCare Hospitals,2026-08-05,2027-07-28,Completed,High
P00064,AI Demand Forecasting,AI Demand Forecasting project for PeopleFirst,2025-10-30,2025-12-24,In Progress,Medium
P00065,Supply Chain Analytics,Supply Chain Analytics project for DigitalHub,2025-07-18,2025-09-01,Completed,High
P00066,Healthcare Management System,Healthcare Management System project for SecureNet,2026-03-27,2026-12-14,Planning,Medium
P00067,Document Management System,Document Management System project for OfficePro,2025-09-08,2026-01-17,In Progress,Medium
P00068,Employee Training Portal,Employee Training Portal project for FinTech Solutions,2025-06-11,2025-12-25,Completed,Medium
P00069,HR Automation System,HR Automation System project for DataCorp,2026-02-15,2026-04-26,In Progress,Low
P00070,Marketing Analytics Platform,Marketing Analytics Platform project for RetailAnalytics,2026-03-10,2026-05-18,In Progress,Low
P00071,Employee Payroll System,Employee Payroll System project for CloudWorks,2025-12-28,2026-07-29,Planning,High
P00072,Inventory Management System,Inventory Management System project for OfficePro,2025-10-05,2026-06-27,Planning,Medium
P00073,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,2025-07-17,2026-06-10,In Progress,Critical
P00074,Mobile Banking Application,Mobile Banking Application project for DigitalHub,2025-08-31,2026-03-18,Planning,Medium
P00075,Data Warehouse Development,Data Warehouse Development project for OfficePro,2026-06-09,2027-02-15,In Progress,Medium
P00076,Marketing Analytics Platform,Marketing Analytics Platform project for SalesPro,2025-08-04,2026-06-20,Delayed,High
P00077,Healthcare Management System,Healthcare Management System project for SecureNet,2026-08-04,2027-02-03,Planning,Low
P00078,Customer Support Chatbot,Customer Support Chatbot project for CloudWorks,2025-03-29,2025-07-18,Delayed,Medium
P00079,Online Learning Platform,Online Learning Platform project for MedCare Hospitals,2025-04-08,2026-02-11,In Progress,Low
P00080,Data Warehouse Development,Data Warehouse Development project for CloudWorks,2025-07-19,2025-09-02,In Progress,Medium
P00081,Document Management System,Document Management System project for RetailAnalytics,2025-01-02,2025-05-15,In Progress,Medium
P00082,Supply Chain Analytics,Supply Chain Analytics project for ABC Retail,2026-06-12,2026-09-06,In Progress,Medium
P00083,Inventory Management System,Inventory Management System project for ServicePro,2025-07-24,2026-03-31,Completed,Medium
P00084,Warehouse Automation,Warehouse Automation project for MarketPlus,2025-03-03,2025-07-12,Completed,Medium
P00085,CRM Implementation,CRM Implementation project for MedCare Hospitals,2026-01-07,2026-06-11,In Progress,Medium
P00086,Cybersecurity Upgrade,Cybersecurity Upgrade project for SalesPro,2026-07-29,2027-04-08,Planning,Low
P00087,HR Automation System,HR Automation System project for ABC Corporation,2026-08-20,2027-01-06,In Progress,Critical
P00088,Healthcare Management System,Healthcare Management System project for DataCorp,2025-03-06,2025-08-14,In Progress,High
P00089,Employee Payroll System,Employee Payroll System project for FinTech Solutions,2026-04-21,2026-11-11,Planning,Low
P00090,Warehouse Automation,Warehouse Automation project for MedCare Hospitals,2025-08-06,2025-10-27,In Progress,Medium
P00091,Supply Chain Analytics,Supply Chain Analytics project for DataCorp,2026-05-17,2027-04-26,In Progress,Medium
P00092,Warehouse Automation,Warehouse Automation project for MarketPlus,2025-12-30,2026-12-24,Completed,Medium
P00093,Warehouse Automation,Warehouse Automation project for SecureNet,2026-03-16,2026-12-14,In Progress,Critical
P00094,Employee Training Portal,Employee Training Portal project for SalesPro,2026-05-18,2026-08-05,In Progress,Low
P00095,Social Media Analytics,Social Media Analytics project for MedCare Hospitals,2026-06-22,2027-01-04,In Progress,High
P00096,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,2025-03-28,2025-09-02,Completed,High
P00097,Customer Support Chatbot,Customer Support Chatbot project for RetailAnalytics,2026-03-11,2026-06-17,In Progress,High
P00098,Data Warehouse Development,Data Warehouse Development project for RetailAnalytics,2025-03-26,2026-02-14,In Progress,Medium
P00099,CRM Implementation,CRM Implementation project for ABC Retail,2026-07-21,2027-01-14,In Progress,Medium
P00100,Mobile Banking Application,Mobile Banking Application project for SecureNet,2026-01-13,2026-09-23,Completed,High
P00101,Warehouse Automation,Warehouse Automation project for MarketPlus,2025-04-26,2026-01-17,In Progress,High
P00102,Inventory Management System,Inventory Management System project for ABC Retail,2025-06-25,2025-11-19,Completed,Medium
P00103,Warehouse Automation,Warehouse Automation project for SalesPro,2026-06-22,2026-11-25,In Progress,Low
P00104,E-Commerce Platform,E-Commerce Platform project for ABC Retail,2026-01-22,2027-01-12,Delayed,Medium
P00105,Employee Payroll System,Employee Payroll System project for MedCare Hospitals,2025-05-18,2026-03-22,Delayed,Low
P00106,Employee Payroll System,Employee Payroll System project for DataCorp,2026-05-08,2026-11-29,In Progress,Medium
P00107,Employee Payroll System,Employee Payroll System project for IndustrialTech,2026-03-07,2026-10-08,In Progress,Medium
P00108,Data Warehouse Development,Data Warehouse Development project for LogiTech,2025-02-16,2025-04-04,Delayed,High
P00109,Marketing Analytics Platform,Marketing Analytics Platform project for IndustrialTech,2025-06-19,2025-10-07,Completed,High
P00110,Cybersecurity Upgrade,Cybersecurity Upgrade project for IndustrialTech,2026-05-22,2026-07-07,On Hold,High
P00111,Financial Reporting Dashboard,Financial Reporting Dashboard project for LogiTech,2025-07-30,2026-05-28,In Progress,High
P00112,Employee Payroll System,Employee Payroll System project for Global Traders,2025-01-23,2026-01-04,Delayed,High
P00113,Online Learning Platform,Online Learning Platform project for DataCorp,2025-12-29,2026-04-04,In Progress,Medium
P00114,Marketing Analytics Platform,Marketing Analytics Platform project for ABC Retail,2026-06-24,2026-11-05,In Progress,High
P00115,Cloud Migration Project,Cloud Migration Project project for DigitalHub,2025-11-30,2026-05-06,In Progress,Medium
P00116,Online Learning Platform,Online Learning Platform project for ABC Corporation,2026-08-09,2027-06-09,Planning,Critical
P00117,E-Commerce Platform,E-Commerce Platform project for PeopleFirst,2025-03-10,2025-09-01,In Progress,Low
P00118,Mobile Banking Application,Mobile Banking Application project for SecureNet,2026-02-05,2026-04-04,In Progress,High
P00119,Customer Support Chatbot,Customer Support Chatbot project for MarketPlus,2026-01-25,2026-09-14,Planning,Medium
P00120,Mobile Banking Application,Mobile Banking Application project for RetailAnalytics,2026-08-14,2026-11-14,Delayed,Medium
P00121,Supply Chain Analytics,Supply Chain Analytics project for PeopleFirst,2025-11-09,2026-07-18,Delayed,Medium
P00122,Data Warehouse Development,Data Warehouse Development project for DigitalHub,2026-05-09,2027-03-24,Delayed,Low
P00123,Data Warehouse Development,Data Warehouse Development project for XYZ Technologies,2025-03-29,2025-06-03,On Hold,High
P00124,Marketing Analytics Platform,Marketing Analytics Platform project for MarketPlus,2025-01-27,2026-01-25,Completed,Medium
P00125,Social Media Analytics,Social Media Analytics project for RetailAnalytics,2026-03-06,2026-11-18,Delayed,Medium
P00126,Online Learning Platform,Online Learning Platform project for IndustrialTech,2025-01-03,2025-03-05,In Progress,High
P00127,HR Automation System,HR Automation System project for MarketPlus,2026-06-09,2026-10-02,In Progress,Medium
P00128,Employee Payroll System,Employee Payroll System project for XYZ Technologies,2025-01-13,2025-04-21,Delayed,High
P00129,Online Learning Platform,Online Learning Platform project for FinanceCorp,2026-02-18,2027-01-11,In Progress,Low
P00130,CRM Implementation,CRM Implementation project for EduTech,2025-09-29,2026-07-02,Completed,Medium
P00131,Online Learning Platform,Online Learning Platform project for SalesPro,2026-01-23,2026-07-06,In Progress,Medium
P00132,Online Learning Platform,Online Learning Platform project for OfficePro,2026-01-10,2026-08-12,In Progress,High
P00133,HR Automation System,HR Automation System project for XYZ Technologies,2025-09-24,2026-02-27,In Progress,High
P00134,Online Learning Platform,Online Learning Platform project for ABC Corporation,2025-10-16,2026-04-08,Completed,High
P00135,Employee Payroll System,Employee Payroll System project for FinanceCorp,2025-10-30,2026-07-06,In Progress,Medium
P00136,Healthcare Management System,Healthcare Management System project for RetailAnalytics,2026-02-11,2026-05-29,In Progress,Medium
P00137,CRM Implementation,CRM Implementation project for Global Traders,2026-03-03,2026-12-16,In Progress,Medium
P00138,E-Commerce Platform,E-Commerce Platform project for ServicePro,2025-09-27,2026-09-09,In Progress,Medium
P00139,Healthcare Management System,Healthcare Management System project for FinanceCorp,2025-07-31,2026-07-22,In Progress,Low
P00140,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,2025-01-26,2025-05-06,Completed,High
P00141,AI Demand Forecasting,AI Demand Forecasting project for SalesPro,2026-04-13,2026-10-06,In Progress,High
P00142,Customer Support Chatbot,Customer Support Chatbot project for CloudWorks,2025-05-16,2025-09-22,Delayed,Medium
P00143,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,2025-09-18,2026-05-24,In Progress,High
P00144,Supply Chain Analytics,Supply Chain Analytics project for OfficePro,2026-08-19,2027-01-14,Delayed,Medium
P00145,AI Demand Forecasting,AI Demand Forecasting project for LogiTech,2026-04-16,2026-10-04,Completed,Low
P00146,Social Media Analytics,Social Media Analytics project for MedCare Hospitals,2025-07-27,2025-10-24,Delayed,Medium
P00147,E-Commerce Platform,E-Commerce Platform project for ABC Corporation,2025-10-12,2026-05-24,Completed,Medium
P00148,Customer Support Chatbot,Customer Support Chatbot project for IndustrialTech,2025-07-14,2026-02-15,In Progress,High
P00149,Warehouse Automation,Warehouse Automation project for CloudWorks,2026-01-11,2026-08-20,In Progress,Medium
P00150,HR Automation System,HR Automation System project for Global Traders,2025-04-02,2025-09-03,In Progress,Medium
P00151,Social Media Analytics,Social Media Analytics project for DataCorp,2026-07-26,2027-05-08,In Progress,Low
P00152,Financial Reporting Dashboard,Financial Reporting Dashboard project for SecureNet,2026-08-16,2027-04-12,In Progress,High
P00153,Document Management System,Document Management System project for ServicePro,2025-06-29,2025-10-08,Planning,Medium
P00154,Financial Reporting Dashboard,Financial Reporting Dashboard project for EduTech,2025-05-19,2025-10-28,Completed,High
P00155,Supply Chain Analytics,Supply Chain Analytics project for EduTech,2025-11-20,2026-08-03,In Progress,Medium
P00156,Data Warehouse Development,Data Warehouse Development project for Global Traders,2026-01-24,2026-04-16,In Progress,High
P00157,Mobile Banking Application,Mobile Banking Application project for ABC Retail,2026-01-22,2026-06-28,In Progress,Medium
P00158,Online Learning Platform,Online Learning Platform project for SecureNet,2025-01-26,2025-12-16,Planning,Low
P00159,Cloud Migration Project,Cloud Migration Project project for SalesPro,2026-03-03,2026-09-05,In Progress,Medium
P00160,Employee Payroll System,Employee Payroll System project for SecureNet,2025-02-09,2025-09-05,Delayed,High
P00161,AI Demand Forecasting,AI Demand Forecasting project for ABC Corporation,2025-07-25,2026-04-14,In Progress,Critical
P00162,Data Warehouse Development,Data Warehouse Development project for CloudWorks,2026-03-07,2026-08-01,Delayed,Critical
P00163,Supply Chain Analytics,Supply Chain Analytics project for RetailAnalytics,2026-06-17,2027-04-22,Planning,Medium
P00164,Supply Chain Analytics,Supply Chain Analytics project for ServicePro,2026-01-17,2026-03-08,In Progress,High
P00165,Supply Chain Analytics,Supply Chain Analytics project for DataCorp,2025-04-06,2025-10-19,In Progress,Medium
P00166,Warehouse Automation,Warehouse Automation project for FinTech Solutions,2026-02-13,2026-10-07,In Progress,Medium
P00167,Healthcare Management System,Healthcare Management System project for XYZ Technologies,2025-01-23,2025-05-24,Planning,Low
P00168,Inventory Management System,Inventory Management System project for RetailAnalytics,2025-05-19,2026-03-10,Planning,High
P00169,Healthcare Management System,Healthcare Management System project for FinTech Solutions,2025-03-16,2025-05-25,Completed,Critical
P00170,E-Commerce Platform,E-Commerce Platform project for DataCorp,2026-08-14,2027-04-24,In Progress,Low
P00171,Mobile Banking Application,Mobile Banking Application project for CloudWorks,2025-08-10,2026-04-14,In Progress,Medium
P00172,HR Automation System,HR Automation System project for IndustrialTech,2025-12-02,2026-09-25,Delayed,Low
P00173,Employee Payroll System,Employee Payroll System project for CloudWorks,2026-04-20,2026-08-09,Completed,Medium
P00174,Cybersecurity Upgrade,Cybersecurity Upgrade project for DataCorp,2026-08-05,2026-11-07,In Progress,Medium
P00175,Data Warehouse Development,Data Warehouse Development project for DigitalHub,2026-08-21,2027-04-08,In Progress,Medium
P00176,Marketing Analytics Platform,Marketing Analytics Platform project for IndustrialTech,2025-04-09,2026-03-30,In Progress,Medium
P00177,Cybersecurity Upgrade,Cybersecurity Upgrade project for SecureNet,2025-08-25,2026-06-17,Completed,High
P00178,Inventory Management System,Inventory Management System project for Global Traders,2025-09-01,2025-12-22,In Progress,Medium
P00179,Document Management System,Document Management System project for Global Traders,2026-04-23,2026-10-15,In Progress,High
P00180,Cloud Migration Project,Cloud Migration Project project for MarketPlus,2025-07-21,2025-11-28,In Progress,High
P00181,Document Management System,Document Management System project for DataCorp,2025-05-19,2026-03-09,In Progress,Medium
P00182,Inventory Management System,Inventory Management System project for DataCorp,2026-03-30,2026-10-24,In Progress,Medium
P00183,Marketing Analytics Platform,Marketing Analytics Platform project for PeopleFirst,2025-10-25,2026-04-27,In Progress,Critical
P00184,Data Warehouse Development,Data Warehouse Development project for FinTech Solutions,2026-03-25,2026-05-10,Delayed,Medium
P00185,Marketing Analytics Platform,Marketing Analytics Platform project for Global Traders,2025-08-16,2026-04-20,In Progress,Low
P00186,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,2025-10-19,2026-04-23,In Progress,Low
P00187,Inventory Management System,Inventory Management System project for CloudWorks,2025-01-06,2025-03-04,Planning,High
P00188,Employee Training Portal,Employee Training Portal project for SalesPro,2025-01-10,2025-04-27,In Progress,Low
P00189,Customer Support Chatbot,Customer Support Chatbot project for FinTech Solutions,2025-01-01,2025-10-05,Completed,Medium
P00190,Healthcare Management System,Healthcare Management System project for DigitalHub,2025-04-16,2026-01-25,Delayed,High
P00191,Data Warehouse Development,Data Warehouse Development project for MedCare Hospitals,2025-07-28,2026-02-16,Completed,Medium
P00192,CRM Implementation,CRM Implementation project for DataCorp,2025-01-31,2025-11-14,Planning,High
P00193,CRM Implementation,CRM Implementation project for PeopleFirst,2025-04-07,2026-01-13,Delayed,Medium
P00194,Employee Training Portal,Employee Training Portal project for ABC Retail,2026-05-24,2027-01-21,Completed,High
P00195,AI Demand Forecasting,AI Demand Forecasting project for DigitalHub,2026-05-28,2026-09-16,In Progress,Low
P00196,HR Automation System,HR Automation System project for RetailAnalytics,2025-06-23,2025-12-19,Delayed,Medium
P00197,Healthcare Management System,Healthcare Management System project for RetailAnalytics,2026-07-22,2027-05-24,Completed,Low
P00198,Mobile Banking Application,Mobile Banking Application project for FinTech Solutions,2025-03-12,2025-08-03,Completed,Medium
P00199,Healthcare Management System,Healthcare Management System project for ABC Corporation,2025-01-19,2025-10-02,In Progress,Low
P00200,AI Demand Forecasting,AI Demand Forecasting project for ServicePro,2025-08-01,2026-06-06,In Progress,Medium
P00201,Employee Training Portal,Employee Training Portal project for MarketPlus,2025-06-08,2026-01-09,Completed,Medium
P00202,Document Management System,Document Management System project for RetailAnalytics,2025-02-16,2025-09-11,In Progress,Medium
P00203,Marketing Analytics Platform,Marketing Analytics Platform project for PeopleFirst,2026-05-24,2026-09-06,Delayed,Low
P00204,Data Warehouse Development,Data Warehouse Development project for PeopleFirst,2026-08-11,2027-03-02,In Progress,Medium
P00205,Marketing Analytics Platform,Marketing Analytics Platform project for LogiTech,2025-06-12,2025-08-09,In Progress,High
P00206,Financial Reporting Dashboard,Financial Reporting Dashboard project for OfficePro,2025-07-09,2025-09-28,Completed,Medium
P00207,Employee Payroll System,Employee Payroll System project for OfficePro,2026-03-08,2026-10-12,In Progress,High
P00208,AI Demand Forecasting,AI Demand Forecasting project for IndustrialTech,2026-07-14,2026-11-05,In Progress,Medium
P00209,Financial Reporting Dashboard,Financial Reporting Dashboard project for IndustrialTech,2025-06-22,2025-11-25,Completed,Medium
P00210,Employee Payroll System,Employee Payroll System project for DataCorp,2026-02-14,2026-07-24,Completed,Medium
P00211,Financial Reporting Dashboard,Financial Reporting Dashboard project for XYZ Technologies,2025-01-14,2025-07-29,In Progress,Medium
P00212,Cybersecurity Upgrade,Cybersecurity Upgrade project for FinanceCorp,2025-12-06,2026-08-31,In Progress,High
P00213,Employee Payroll System,Employee Payroll System project for PeopleFirst,2026-08-16,2027-02-19,In Progress,Medium
P00214,Supply Chain Analytics,Supply Chain Analytics project for MedCare Hospitals,2025-10-13,2026-08-24,In Progress,Critical
P00215,Cybersecurity Upgrade,Cybersecurity Upgrade project for Global Traders,2026-01-20,2026-08-07,Completed,High
P00216,Financial Reporting Dashboard,Financial Reporting Dashboard project for OfficePro,2026-02-17,2027-02-14,In Progress,Medium
P00217,HR Automation System,HR Automation System project for MarketPlus,2026-01-15,2027-01-14,In Progress,Critical
P00218,HR Automation System,HR Automation System project for DigitalHub,2026-02-16,2026-08-16,Planning,Medium
P00219,Supply Chain Analytics,Supply Chain Analytics project for FinanceCorp,2026-06-17,2027-04-02,In Progress,High
P00220,Document Management System,Document Management System project for ABC Corporation,2025-01-07,2025-07-16,In Progress,Medium
P00221,Mobile Banking Application,Mobile Banking Application project for MedCare Hospitals,2026-06-15,2027-05-06,In Progress,Medium
P00222,Marketing Analytics Platform,Marketing Analytics Platform project for ABC Corporation,2026-06-29,2027-04-15,Completed,Low
P00223,Cybersecurity Upgrade,Cybersecurity Upgrade project for LogiTech,2026-06-27,2026-11-27,Delayed,High
P00224,Customer Support Chatbot,Customer Support Chatbot project for FinanceCorp,2025-08-09,2026-01-03,In Progress,Medium
P00225,Cybersecurity Upgrade,Cybersecurity Upgrade project for IndustrialTech,2025-12-16,2026-11-07,Completed,Medium
P00226,Healthcare Management System,Healthcare Management System project for MedCare Hospitals,2025-07-31,2026-03-05,In Progress,Critical
P00227,Warehouse Automation,Warehouse Automation project for LogiTech,2026-05-20,2027-02-11,In Progress,Low
P00228,Online Learning Platform,Online Learning Platform project for DigitalHub,2025-09-01,2026-05-20,In Progress,Critical
P00229,Cloud Migration Project,Cloud Migration Project project for LogiTech,2025-07-07,2025-10-13,In Progress,Medium
P00230,Inventory Management System,Inventory Management System project for ABC Retail,2026-02-16,2026-06-16,In Progress,High
P00231,Marketing Analytics Platform,Marketing Analytics Platform project for ABC Retail,2025-01-30,2025-12-29,Delayed,Medium
P00232,Social Media Analytics,Social Media Analytics project for LogiTech,2025-08-14,2025-12-26,In Progress,High
P00233,E-Commerce Platform,E-Commerce Platform project for SalesPro,2025-05-04,2026-03-22,Planning,High
P00234,Employee Payroll System,Employee Payroll System project for OfficePro,2025-08-13,2026-01-18,In Progress,Medium
P00235,Marketing Analytics Platform,Marketing Analytics Platform project for FinTech Solutions,2025-09-27,2026-08-08,Delayed,High
P00236,Cybersecurity Upgrade,Cybersecurity Upgrade project for CloudWorks,2025-02-08,2025-09-25,Planning,Critical
P00237,Data Warehouse Development,Data Warehouse Development project for FinanceCorp,2026-06-03,2026-08-18,On Hold,High
P00238,Supply Chain Analytics,Supply Chain Analytics project for MarketPlus,2025-09-07,2026-01-16,On Hold,Critical
P00239,Healthcare Management System,Healthcare Management System project for LogiTech,2025-08-04,2026-07-19,In Progress,High
P00240,CRM Implementation,CRM Implementation project for MedCare Hospitals,2025-03-31,2025-07-20,In Progress,Medium
P00241,Mobile Banking Application,Mobile Banking Application project for ABC Retail,2026-08-21,2026-12-16,Planning,High
P00242,Online Learning Platform,Online Learning Platform project for XYZ Technologies,2026-05-29,2026-08-29,Planning,High
P00243,HR Automation System,HR Automation System project for CloudWorks,2025-10-17,2026-06-14,In Progress,Low
P00244,CRM Implementation,CRM Implementation project for ServicePro,2025-07-20,2026-05-19,Completed,Medium
P00245,CRM Implementation,CRM Implementation project for MedCare Hospitals,2025-10-08,2026-09-17,Delayed,Medium
P00246,HR Automation System,HR Automation System project for XYZ Technologies,2026-07-31,2027-06-24,In Progress,High
P00247,Employee Payroll System,Employee Payroll System project for ABC Retail,2025-05-13,2026-04-05,In Progress,High
P00248,Supply Chain Analytics,Supply Chain Analytics project for FinTech Solutions,2026-02-15,2027-01-15,In Progress,High
P00249,Employee Payroll System,Employee Payroll System project for ABC Corporation,2026-06-27,2027-02-08,In Progress,Low
P00250,E-Commerce Platform,E-Commerce Platform project for Global Traders,2026-03-30,2027-01-31,In Progress,Low
P00251,Inventory Management System,Inventory Management System project for ServicePro,2026-06-07,2027-02-10,Delayed,Medium
P00252,Marketing Analytics Platform,Marketing Analytics Platform project for MedCare Hospitals,2026-07-23,2026-10-19,In Progress,High
P00253,Inventory Management System,Inventory Management System project for FinanceCorp,2025-02-05,2025-03-29,In Progress,High
P00254,Healthcare Management System,Healthcare Management System project for ABC Retail,2025-05-24,2025-08-08,In Progress,High
P00255,Data Warehouse Development,Data Warehouse Development project for FinTech Solutions,2025-03-28,2025-08-30,Planning,Medium
P00256,Mobile Banking Application,Mobile Banking Application project for RetailAnalytics,2025-12-07,2026-06-29,Delayed,High
P00257,Data Warehouse Development,Data Warehouse Development project for DataCorp,2025-09-02,2026-05-09,Delayed,High
P00258,Mobile Banking Application,Mobile Banking Application project for FinTech Solutions,2025-01-25,2025-08-24,Planning,Critical
P00259,Inventory Management System,Inventory Management System project for FinanceCorp,2025-12-01,2026-05-12,In Progress,High
